Id	SRR3033158	SRR3033159	SRR3033160	SRR3033164	SRR3033165	SRR3033166	SRR3033161	SRR3033162	SRR3033163	SRR3033167	SRR3033168	norm.SRR3033158	norm.SRR3033159	norm.SRR3033160	norm.SRR3033164	norm.SRR3033165	norm.SRR3033166	norm.SRR3033161	norm.SRR3033162	norm.SRR3033163	norm.SRR3033167	norm.SRR3033168	baseMean	WT	codY	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LMRG_RS00785	2485	2665	1865	3357	3248	3153	1764	1627	1433	2912	2961	3197	3459	2941	2494	2146	2300	2199	2021	2058	1903	2034	2432.07	2756	2043	0.742	-0.431	-2.972	0.00295777139287973	0.0337042820817667	0.0207	0.1971	0.0271	0.0271	TRUE	0.1237
LMRG_RS11430	3587	3890	2526	3931	2431	1848	1278	1083	1294	1608	2651	4615	5050	3983	2920	1607	1348	1593	1345	1858	1051	1821	2471.94	3254	1534	0.471	-1.085	-2.954	0.00313520585058019	0.0354403669349585	0.174	0.1971	0.1762	0.1762	TRUE	0.066
LMRG_RS03095	498	605	426	978	1139	1025	395	370	369	963	979	641	785	672	727	753	748	492	460	530	629	673	646.23	721	557	0.775	-0.369	-2.931	0.00338255252302181	0.0377829779844255	0.0131	0.1985	0.0191	0.0191	TRUE	0.1651
LMRG_RS02140	60	74	64	126	152	141	51	55	54	127	91	77	96	101	94	100	103	64	68	78	83	63	84.18	95	71	0.745	-0.425	-2.92	0.00350368215936246	0.0386773663373372	0	0.2116	0.0154	0.0154	TRUE	0.1168
LMRG_RS10295	3121	3083	2271	6967	7077	7223	2351	2296	2181	5478	5813	4016	4002	3581	5176	4677	5268	2931	2852	3132	3580	3994	3928	4453	3298	0.741	-0.433	-2.921	0.00349057909133549	0.0386773663373372	0.0225	0.1969	0.0286	0.0286	TRUE	0.1481
LMRG_RS01580	25	17	22	27	27	18	8	9	10	19	15	32	22	35	20	18	13	10	11	14	12	10	18.02	23	11	0.515	-0.958	-2.913	0.00358021886600515	0.0393684767133485	0.0472	0.2667	0.0744	0.0744	TRUE	0.0841
LMRG_RS07405	1784	1882	1416	3300	3230	3136	1435	1220	1403	2740	3202	2295	2443	2233	2452	2135	2287	1789	1516	2015	1790	2200	2104.93	2308	1862	0.807	-0.309	-2.911	0.00360034748543479	0.0394363643172043	0.0096	0.1972	0.0142	0.0142	TRUE	0.1321
LMRG_RS02180	103	95	89	152	137	124	69	59	58	131	113	133	123	140	113	91	90	86	73	83	86	78	99.63	115	81	0.716	-0.482	-2.909	0.0036287636158181	0.0395941543563782	0.0145	0.2093	0.0251	0.0251	TRUE	0.0809
LMRG_RS00020	689	867	618	1230	1512	1102	481	487	404	1004	1400	886	1125	974	914	999	804	600	605	580	656	962	827.81	950	681	0.718	-0.479	-2.9	0.00373493445043856	0.0402859723547304	0.0272	0.1981	0.0344	0.0344	TRUE	0.6571
LMRG_RS08595	3147	3242	1829	3022	3152	2532	1642	1630	1167	1650	1809	4049	4208	2884	2245	2083	1847	2047	2025	1676	1078	1243	2307.73	2886	1614	0.559	-0.839	-2.9	0.00373186017388513	0.0402859723547304	0.1028	0.1971	0.1091	0.1091	TRUE	0.0869
LMRG_RS13025	45	73	59	1376	1372	714	30	33	14	359	137	58	95	93	1022	907	521	37	41	20	235	94	283.87	449	85	0.191	-2.391	-2.883	0.00393398408553771	0.0419526000970928	0.984	0.201	0.8931	0.8931	TRUE	0.1456
LMRG_RS04150	9377	8235	4474	11003	10650	10470	4835	4490	3402	9580	10697	12065	10690	7055	8174	7038	7637	6027	5578	4885	6260	7349	7523.45	8776	6020	0.686	-0.544	-2.87	0.00410503889021828	0.042966073717618	0.0419	0.1967	0.0469	0.0469	TRUE	0.2165
LMRG_RS03560	1033	1022	857	2204	1749	1640	909	871	684	1180	1593	1329	1327	1351	1637	1156	1196	1133	1082	982	771	1094	1187.22	1333	1012	0.759	-0.397	-2.866	0.00416010937847617	0.0431389729296542	0.0171	0.1976	0.0243	0.0243	TRUE	0.2229
LMRG_RS00005	4124	4140	2944	5284	6068	4848	2833	2796	2037	4869	5432	5306	5374	4642	3925	4010	3536	3532	3473	2925	3182	3732	3967.07	4466	3369	0.755	-0.406	-2.863	0.00420140352835857	0.0433327239822675	0.0199	0.1969	0.0261	0.0261	TRUE	0.0872
LMRG_RS02200	218	158	325	192	236	187	82	97	94	165	170	280	205	512	143	156	136	102	121	135	108	117	183.21	239	117	0.489	-1.031	-2.861	0.00421901257104502	0.0433561073664481	0.1592	0.2035	0.1633	0.1633	TRUE	0.7443
LMRG_RS13015	1686	1713	1278	2255	2749	2268	1247	1293	1021	2430	2342	2169	2224	2015	1675	1817	1654	1554	1606	1466	1588	1609	1761.65	1926	1565	0.814	-0.297	-2.838	0.0045354689380156	0.0462122519841371	0.0091	0.1973	0.0138	0.0138	TRUE	0.071
LMRG_RS07455	287	297	193	378	334	344	164	143	162	331	337	369	386	304	281	221	251	204	178	233	216	232	261.28	302	213	0.708	-0.499	-2.829	0.00466638872055975	0.0467631720719923	0.0282	0.2014	0.0365	0.0365	TRUE	0.0964
LMRG_RS01570	363	366	273	496	542	460	283	265	196	467	429	467	475	430	368	358	336	353	329	281	305	295	363.47	406	313	0.773	-0.371	-2.822	0.00477720020141488	0.0473697114708717	0.0131	0.2	0.0197	0.0197	TRUE	0.0862
LMRG_RS10745	60	57	62	62	71	53	29	31	33	44	35	77	74	98	46	47	39	36	39	47	29	24	50.49	64	35	0.551	-0.859	-2.814	0.00489713561478696	0.0479646385725873	0.0861	0.2216	0.0983	0.0983	TRUE	0.1566
