6 2 -1.0751744
23 2 -0.63245553
50 2 0
21 4 -0.50596443
39 5 0.69570109
66 6 -1.9606121
99 7 0.88543774
44 8 1.6443844
39 10 -0.56920998
71 11 -0.18973666
9 12 -1.4546477
21 13 -1.13842
24 13 0
75 13 -0.75894664
88 14 -0.88543774
94 15 1.2649111
11 16 -1.7076299
58 17 0.063245553
35 18 -0.50596443
53 18 -0.44271887
87 19 -1.2016655
74 20 -0.25298221
40 21 -0.44271887
18 23 -0.56920998
6 24 -1.2016655
56 24 0
80 24 -0.37947332
100 24 2.2135944
81 25 0.063245553
16 26 -1.0119289
45 26 0.56920998
52 26 -0.63245553
17 27 -0.25298221
98 27 1.3281566
5 30 0.50596443
23 30 0.63245553
1 32 -0.063245553
11 32 0.31622777
59 32 -1.0751744
8 35 0
87 35 0.88543774
31 36 0.56920998
69 36 -0.37947332
34 38 0.25298221
75 38 1.0119289
14 40 1.0119289
54 40 -0.88543774
70 41 -0.18973666
37 42 -0.75894664
18 43 0.9486833
57 43 0.75894664
95 43 1.0751744
6 44 -0.063245553
46 44 -0.75894664
87 48 -1.7708755
29 50 0.44271887
43 50 0.56920998
72 52 -0.063245553
91 52 -0.69570109
79 55 0.56920998
99 56 1.5811388
38 58 1.0119289
69 59 0.75894664
51 61 1.834121
71 61 1.7708755
46 62 1.5811388
75 65 1.0751744
14 66 -2.0238577
57 67 3.0990321
59 67 3.1622777
18 69 -1.7708755
22 69 -0.12649111
37 69 2.0871033
46 70 1.5811388
3 72 -0.69570109
75 73 -0.69570109
83 76 -0.75894664
72 79 -1.0119289
81 79 -2.0238577
36 80 0.18973666
99 81 -0.25298221
69 83 -0.9486833
88 83 -1.5811388
99 83 -1.3281566
79 86 -2.5298221
98 87 -1.7708755
78 88 -2.7828043
34 89 0.75894664
54 89 0.50596443
37 90 0.37947332
88 90 -4.110961
23 91 1.13842
24 91 0.31622777
64 92 -1.2016655
9 94 0
26 94 1.13842
2 97 0.75894664
96 97 -1.7076299
10 99 0.31622777
81 100 -0.63245553
